section_id,goods_train_flag,krank_special_flag,train_length_m,train_type,priority_class,goods_corridor_active,historical_goods_throughput,line_type,signaling_system,block_section_line,weather_severity,flat_tyre_incidents_last_hr,maintenance_block_active,headway_ahead_min,current_delay_prev_min,section_speed_profile,congestion_next_block,time_of_day_hour,protocol_id,delay_next_min,recommended_action
S000,1,0,403.4762886710439,goods,3,0,7.544008410592183,single,AT,Loop,2,0,0,15.465300955807848,0.823186198307024,96.9404839004481,1,9.60065280380777,PR111,2.894707818778357,NORMAL
S001,0,1,699.6836420998558,passenger,1,0,8.24261859665062,double,ABS,Loop,1,0,1,13.395803667555908,9.77207308507908,78.42748875749807,2,15.943101471614401,S.R.9.01,9.53510821416313,NORMAL
S002,0,0,664.845525376954,goods,3,0,7.45570960661248,multiple,AT,Loop,1,0,0,10.191352896897563,7.731891387083197,87.99308371592235,0,16.919889820082812,G&R.54,34.406830265798426,NORMAL
S003,1,0,374.0733509106724,goods,5,0,7.140187452825752,double,AWS,Loop,2,0,0,21.89338905479717,1.1793037352667664,71.60821925855691,0,7.7331518913079895,M8,26.551626825021497,NORMAL
S004,1,0,582.686042997172,goods,1,1,8.972979612975731,multiple,AT,Up,2,0,0,10.667805846372119,17.249534430766623,86.9649519201764,3,16.858168607181568,G&R.54,6.708012545213412,NORMAL
S005,1,1,658.5488672693633,express,3,0,1.8968103282735083,single,AWS,Down,3,2,0,13.453898487593115,4.912930326759711,86.10989889332765,4,12.542793693315813,G&R.69,12.120181889343907,NORMAL
S006,1,0,694.6324319634566,passenger,1,0,7.9472041212971005,double,AT,Main,4,0,0,4.241000232088043,1.8003890718878466,107.50166180417006,0,10.55844573556688,ABS1,13.790403272615112,NORMAL
S007,0,0,728.9528525602963,express,4,0,5.048712200866657,single,ABS,Up,0,0,0,17.620281715591602,0.13349879681472032,92.02199092901623,1,6.532088195981622,G&R.52,1.2919866540894889,NORMAL
S008,1,0,693.0796746148587,goods,4,0,5.223727442850322,single,AT,Down,4,0,0,11.097077259847934,1.3065935557302453,85.10716532057559,3,16.71929358902685,PR117,10.603634396903912,NORMAL
S009,0,1,578.3210702949385,express,1,0,9.118472149248735,double,AT,Up,0,0,0,15.004110363968806,10.649133014780043,89.9945390377187,2,20.54053432303056,PR119,9.975445670706561,NORMAL
