section_id,line_type,is_electrified,block_length_km,loop_length_m,gradient_permille,curvature_class,max_speed_kmph,perm_speed_restr_kmph,signal_type,headway_min,section_capacity_tph,section_utilization,maint_block_active,maint_start_time,maint_end_time,train_id,train_type,priority_class,train_length_m,axle_load_tonnes,traction_type,accel_category,braking_category,origin_station,dest_station,stopping_pattern,sch_arrival_time,sch_departure_time,actual_arrival_time,actual_departure_time,delay_prev_checkpoint_min,dwell_scheduled_min,dwell_actual_min,buffer_time_min,time_of_day_hour,day_of_week,is_holiday,is_peak_hour,direction,overtake_planned,conflicts_next_15min,headway_ahead_min,headway_behind_min,crossings_junction,congestion_index,incident_flag,incident_type,weather_category,weather_severity,temp_speed_restr,worksite_severity,delay_next_min,high_delay_risk
SEC004,single,True,7.3,1117.0,-12.3,straight,110,0,MACL,5,17,0.5,False,2025-12-05 04:11:39,2025-12-05 06:47:00,Train_22602,MEMU,1,709.0,20.9,dual,medium,advanced,KZJ,MUE,limited_stops,2025-12-05 15:40:19,2025-12-05 15:48:53,2025-12-05 15:54:16,2025-12-05 15:59:34,5.75,4.3,6.28,2.4,15.6,1,False,False,up,False,0,6.5,23.5,0,0.88,False,none,rain,0.83,False,none,35.6,True
SEC005,double,True,4.2,913.0,-15.0,straight,90,0,automatic,10,23,0.64,False,2025-12-05 03:35:50,2025-12-05 07:45:30,Train_20124,passenger,5,507.0,23.0,electric,medium,standard,DHNE,HYB,all_stops,2025-12-05 08:38:42,2025-12-05 08:48:21,2025-12-05 08:41:58,2025-12-05 09:10:31,6.28,5.5,7.0,2.1,8.2,0,False,True,down,False,7,6.8,8.1,3,0.61,False,none,rain,0.7,False,none,31.5,True
SEC003,double,False,7.9,961.0,-1.9,sharp,110,70,absolute,10,23,0.69,False,2025-12-05 01:45:20,2025-12-05 04:27:35,Train_27363,MEMU,2,632.0,23.8,electric,medium,advanced,DHNE,BCT,all_stops,2025-12-05 11:26:31,2025-12-05 11:35:53,2025-12-05 11:45:08,2025-12-05 11:50:06,24.1,4.4,7.18,5.6,10.7,0,False,False,down,False,5,6.7,8.2,3,0.75,False,none,rain,0.27,False,none,30.9,True
SEC005,single,True,3.7,1128.0,2.1,mild,90,50,MACL,3,17,0.92,False,2025-12-05 02:50:28,2025-12-05 05:14:00,Train_96593,freight,3,535.0,20.1,electric,medium,standard,NDLS,RC,all_stops,2025-12-05 07:19:34,2025-12-05 07:26:06,2025-12-05 07:39:27,2025-12-05 07:44:50,20.91,4.7,6.88,7.8,7.2,4,False,True,down,True,6,16.2,16.1,0,0.89,False,none,clear,0.53,False,none,36.8,True
SEC005,single,True,6.4,937.0,-6.9,straight,60,70,MACL,3,9,0.66,True,2025-12-05 03:48:56,2025-12-05 08:36:21,Train_67904,freight,2,585.0,21.0,electric,medium,advanced,SC,HYB,non_stop,2025-12-05 15:03:13,2025-12-05 15:10:31,2025-12-05 15:16:15,2025-12-05 15:28:29,10.41,7.9,8.67,6.9,14.6,0,True,False,down,False,2,10.7,20.6,2,0.29,False,none,clear,0.87,False,low,39.2,True
SEC002,double,False,6.8,661.0,-7.2,mild,130,0,absolute,7,9,0.67,False,2025-12-05 02:43:13,2025-12-05 08:19:50,Train_18106,passenger,3,600.0,20.5,electric,fast,standard,NDLS,RC,non_stop,2025-12-05 09:35:32,2025-12-05 09:48:57,2025-12-05 09:47:45,2025-12-05 10:11:36,5.74,5.0,7.74,3.6,9.4,1,False,True,down,False,6,13.6,11.5,2,0.89,False,none,clear,0.82,True,low,40.5,True
SEC003,single,True,6.6,993.0,-4.3,straight,110,30,automatic,10,17,0.7,False,2025-12-05 02:58:12,2025-12-05 07:35:44,Train_75095,passenger,2,502.0,23.9,electric,medium,standard,SC,RC,limited_stops,2025-12-05 21:30:49,2025-12-05 21:37:07,2025-12-05 21:41:32,2025-12-05 21:41:42,1.56,5.0,5.87,6.9,20.9,5,False,False,up,False,3,11.9,11.0,3,0.35,False,none,clear,0.32,False,low,19.5,True
SEC003,double,True,4.7,1039.0,-7.1,straight,130,70,MACL,5,16,0.78,True,2025-12-05 04:52:07,2025-12-05 06:56:39,Train_43250,express,3,603.0,24.1,diesel,fast,advanced,BPQ,HYB,limited_stops,2025-12-05 18:18:52,2025-12-05 18:27:15,2025-12-05 18:36:02,2025-12-05 18:43:43,-0.96,3.7,6.47,5.1,17.5,4,False,True,up,False,6,12.6,18.1,4,0.4,False,none,rain,0.62,False,none,26.4,True
SEC003,single,True,7.8,945.0,10.8,straight,110,0,MACL,10,10,0.5,False,2025-12-05 04:19:46,2025-12-05 07:52:01,Train_10192,passenger,1,588.0,20.6,electric,medium,standard,SC,MUE,non_stop,2025-12-05 17:47:37,2025-12-05 17:52:00,2025-12-05 18:03:16,2025-12-05 18:05:35,21.07,2.7,4.23,4.1,17.6,4,False,True,down,False,1,4.1,19.7,2,0.34,False,none,clear,0.13,False,none,22.9,True
SEC005,double,True,7.2,691.0,4.3,mild,90,30,absolute,7,21,0.67,False,2025-12-05 04:18:15,2025-12-05 08:27:32,Train_25295,MEMU,1,438.0,19.7,electric,medium,standard,KZJ,MUE,non_stop,2025-12-05 11:31:54,2025-12-05 11:42:22,2025-12-05 11:35:45,2025-12-05 11:47:09,6.9,2.8,5.11,3.7,11.2,0,False,False,up,False,4,10.6,23.8,4,0.82,False,none,clear,0.13,False,none,20.8,True
SEC004,single,False,5.8,780.0,9.9,sharp,90,70,automatic,10,20,0.88,False,2025-12-05 05:24:02,2025-12-05 10:38:06,Train_75026,express,3,718.0,21.0,electric,slow,standard,DHNE,MAS,non_stop,2025-12-05 14:44:30,2025-12-05 14:51:35,2025-12-05 14:55:49,2025-12-05 15:05:31,13.67,8.1,8.85,3.9,14.6,0,False,False,up,True,4,16.8,8.4,4,0.57,False,none,clear,0.59,False,none,29.9,True
SEC003,double,True,6.3,829.0,10.8,straight,60,50,automatic,7,16,0.9,False,2025-12-05 03:19:05,2025-12-05 07:03:05,Train_44119,MEMU,5,882.0,24.9,electric,medium,standard,SC,BCT,all_stops,2025-12-05 20:15:55,2025-12-05 20:26:15,2025-12-05 20:24:34,2025-12-05 20:45:53,20.07,6.9,8.58,4.7,19.4,1,False,True,down,False,1,9.7,19.4,0,0.25,False,none,clear,0.26,False,none,23.0,True
SEC005,single,True,6.1,602.0,-1.9,mild,110,0,MACL,10,20,0.87,False,2025-12-05 05:06:12,2025-12-05 10:51:51,Train_94269,passenger,2,789.0,21.9,electric,medium,standard,SC,BCT,non_stop,2025-12-05 15:47:36,2025-12-05 15:49:48,2025-12-05 15:51:51,2025-12-05 16:00:20,-1.12,9.4,9.88,7.2,14.9,0,False,False,up,False,3,16.4,8.7,1,0.76,False,none,rain,0.83,False,none,34.2,True
SEC002,double,False,8.2,817.0,-0.7,mild,110,70,automatic,3,17,0.52,False,2025-12-05 02:11:42,2025-12-05 08:02:32,Train_41782,express,1,843.0,21.0,dual,fast,advanced,NDLS,HYB,limited_stops,2025-12-05 14:13:19,2025-12-05 14:21:56,2025-12-05 14:30:16,2025-12-05 14:32:46,18.74,8.6,10.58,6.2,13.9,2,False,False,down,True,1,4.6,12.8,0,0.36,False,none,rain,0.31,False,low,26.0,True
SEC004,single,True,7.9,613.0,14.3,mild,90,30,MACL,3,17,0.68,False,2025-12-05 05:03:44,2025-12-05 09:18:19,Train_71175,passenger,1,401.0,22.0,electric,medium,standard,KZJ,MUE,non_stop,2025-12-05 18:14:53,2025-12-05 18:25:57,2025-12-05 18:14:59,2025-12-05 18:42:41,21.74,9.1,11.4,7.6,17.5,0,False,True,up,False,7,7.7,14.9,4,0.91,False,none,rain,0.32,False,low,41.7,True
SEC002,single,False,4.3,850.0,9.5,straight,130,0,absolute,3,19,0.91,False,2025-12-05 01:22:11,2025-12-05 06:45:22,Train_20678,express,3,895.0,20.1,electric,medium,advanced,SC,RC,all_stops,2025-12-05 09:33:04,2025-12-05 09:43:21,2025-12-05 09:50:08,2025-12-05 09:54:13,2.91,10.1,10.44,6.3,9.4,4,False,True,up,False,6,13.6,24.2,4,0.26,False,none,clear,0.48,False,none,30.0,True
SEC004,double,True,4.4,536.0,8.9,straight,110,0,absolute,5,16,0.4,True,2025-12-05 04:40:32,2025-12-05 09:28:07,Train_73080,freight,4,728.0,19.0,electric,slow,standard,SC,MUE,non_stop,2025-12-05 12:11:36,2025-12-05 12:24:52,2025-12-05 12:29:07,2025-12-05 12:46:25,6.23,6.1,6.31,4.1,11.9,4,False,False,down,False,3,15.0,17.2,4,0.28,True,track_defect,rain,0.31,False,none,15.5,True
SEC005,double,True,8.4,1164.0,2.5,straight,110,0,MACL,10,13,0.9,False,2025-12-05 04:06:50,2025-12-05 08:41:27,Train_12550,MEMU,4,766.0,21.2,electric,medium,standard,NDLS,MAS,limited_stops,2025-12-05 07:31:51,2025-12-05 07:43:36,2025-12-05 07:40:02,2025-12-05 08:00:45,17.23,6.9,6.45,4.1,6.7,1,False,False,up,False,3,12.7,10.2,1,0.22,False,none,clear,0.78,True,low,35.6,True
SEC001,double,True,4.3,672.0,-1.2,straight,60,70,automatic,10,16,0.5,False,2025-12-05 05:45:34,2025-12-05 10:40:46,Train_23480,passenger,3,433.0,19.7,electric,slow,standard,KZJ,MAS,limited_stops,2025-12-05 08:29:14,2025-12-05 08:42:39,2025-12-05 08:45:05,2025-12-05 09:01:37,3.77,7.3,7.01,5.1,8.5,6,False,True,down,False,3,4.7,13.8,3,0.6,False,none,clear,0.55,False,none,26.1,True
SEC004,double,False,8.2,827.0,11.8,mild,110,0,absolute,7,11,0.7,False,2025-12-05 02:03:26,2025-12-05 06:57:41,Train_78392,passenger,2,766.0,24.4,diesel,medium,standard,BPQ,BCT,non_stop,2025-12-05 16:49:54,2025-12-05 17:02:30,2025-12-05 16:53:21,2025-12-05 17:10:44,1.52,11.5,13.19,6.4,16.8,2,False,False,up,False,4,12.0,21.9,2,0.76,False,none,rain,0.64,False,none,32.1,True
SEC002,double,True,6.6,523.0,9.1,straight,130,50,automatic,5,21,0.51,True,2025-12-05 05:07:38,2025-12-05 09:09:19,Train_81482,express,5,477.0,20.8,electric,medium,standard,SC,RC,non_stop,2025-12-05 18:20:04,2025-12-05 18:29:51,2025-12-05 18:29:10,2025-12-05 18:38:02,10.74,7.2,8.2,2.7,18.2,6,False,True,up,False,1,7.9,16.7,4,0.32,False,none,clear,0.23,False,none,15.1,True
SEC005,double,False,3.3,635.0,0.5,straight,90,70,MACL,3,17,0.88,False,2025-12-05 02:31:38,2025-12-05 08:16:23,Train_53724,express,3,644.0,18.9,electric,fast,standard,SC,MAS,all_stops,2025-12-05 13:57:04,2025-12-05 14:07:56,2025-12-05 14:08:11,2025-12-05 14:15:12,22.4,2.4,3.4,2.8,13.5,3,False,False,down,False,3,5.5,14.7,4,0.77,False,none,rain,0.31,False,none,36.2,True
SEC004,double,True,4.8,985.0,-6.9,mild,90,0,MACL,5,20,0.82,False,2025-12-05 05:25:40,2025-12-05 10:53:56,Train_78406,MEMU,2,820.0,20.1,dual,fast,standard,DHNE,MUE,all_stops,2025-12-05 21:09:26,2025-12-05 21:22:55,2025-12-05 21:23:30,2025-12-05 21:33:45,10.67,8.0,9.72,5.1,20.7,3,False,False,up,False,4,4.8,16.7,0,0.32,False,none,fog,0.11,False,low,21.2,True
